id,latitude,longitude,resolution
3,41.64351175958811,-90.5304058843401,2048
10,34.95572250250735,-79.73428481532655,2048
4,41.6444650503758,-90.5293194605464,2048
5,41.79101586450214,-90.29537464058195,2048
6,41.81098812539779,-90.53581554000796,2048
8,39.13325892775368,-94.48216595175504,2048
0,36.3769931458489,-82.96123103819706,2048
7,39.12985713864353,-94.47964984909856,2048
11,34.95647188416356,-79.73407113127253,2048
2,41.61241300194337,-90.56609320468333,2048
9,36.58722574029518,-90.17947447716914,2048
1,36.46070044556321,-82.80789149872477,2048
12,38.996757885969714,-94.19086791615808,2048
13,39.00933125193598,-94.25553652280114,2048
17,28.48375693922934,-81.45480192181493,2048
23,35.939765799389974,-89.71964797211612,2048
19,34.8856010427125,-83.97351768288169,2048
18,34.85872082647503,-84.0999886745394,2048
16,28.47098873476222,-81.44088812710635,2048
22,35.931932532314256,-89.7334818348368,2048
14,43.9318262062915,-70.20327037247317,2048
21,35.89938254233634,-89.78268045111962,2048
24,35.93992631333516,-89.71845316976253,2048
25,35.92052813296592,-89.76786141381676,2048
20,35.899413731345845,-89.78394778659185,2048
15,43.95359161761926,-69.69545247809143,2048
26,40.19312364654154,-78.93041227644318,2048
28,40.517176646592205,-79.19324130399,2048
36,40.25416679017432,-74.11846467341255,2048
29,35.60755475799655,-84.4518118250012,2048
27,40.29648669385786,-78.97922980260114,2048
37,40.25795141483688,-74.11847032495339,2048
33,34.589459722480775,-78.97442843258916,2048
30,35.72004381113168,-84.36020791868295,2048
38,40.29319082530509,-74.08125149991396,2048
34,47.07179748647048,-101.19595060861847,2048
32,36.85398944383346,-93.31031397469928,2048
35,47.07182622869692,-101.19908251375398,2048
39,40.339045663212296,-74.07088492064096,2048
31,35.72063071279402,-84.35925734509152,2048
40,41.46508190361136,-94.66158513670014,2048
41,41.46526613447452,-94.6065298649314,2048
42,35.00183816937712,-85.62162198902269,2048
45,37.028361448782064,-76.42968634818219,2048
43,46.08793157099988,-98.90383997943282,2048
46,37.03071784778652,-76.43133559166984,2048
48,33.64437364600726,-87.19669028351161,2048
44,46.10488807414571,-98.978187076676,2048
51,37.02992700260762,-76.36705025230239,2048
52,34.98608122510514,-90.7822297008284,2048
47,33.630529643100544,-87.05566643324194,2048
50,36.98661163051056,-76.43038552042786,2048
53,34.967370650153995,-90.45179774976896,2048
54,35.06225665724756,-85.33339910422079,2048
49,33.64609274134228,-87.19660729536761,2048
57,35.10613626990263,-85.24596707765893,2048
55,35.10282044168762,-85.25961911558672,2048
56,35.101144020640284,-85.22947260217238,2048
60,48.83324527769563,-95.32907641905192,2048
63,35.94503291891853,-84.38856437318898,2048
59,35.15736330125784,-81.43362794787075,2048
62,36.16227677076187,-85.53564178005516,2048
65,36.21332551289084,-95.27909444662804,2048
64,36.21316321330554,-95.27774455974122,2048
68,41.62978967989682,-87.5004980501228,2048
66,36.147173673314754,-95.14843658226752,2048
58,35.076296447034046,-81.57428131095946,2048
61,36.2821199322966,-85.46765524383824,2048
67,36.222895898557546,-95.25330993942936,2048
69,41.63514850721334,-87.50712779808735,2048
70,41.64518005334085,-87.5121230918459,2048
71,41.65888494609903,-87.51062391548449,2048
72,40.71312783799377,-75.51812023610468,2048
78,41.002327549380574,-76.50692616803454,2048
76,30.56054838968736,-81.85030127214789,2048
74,40.80033283670311,-75.10856560034816,2048
75,35.467538320741824,-84.58661288079132,2048
79,41.072630491035454,-76.66384308595931,2048
73,40.79962610799154,-75.1106284022157,2048
77,30.57120002443169,-81.83935420393934,2048
80,38.77046161398447,-93.6546724320506,2048
81,36.381594069027,-86.555353184858,2048
82,36.95371307442042,-93.71772177553368,2048
83,38.5636388946624,-90.83472206598324,2048
85,39.0459502363066,-76.67690325964364,2048
84,37.0152067291373,-86.36224249355016,2048
86,39.0152674203915,-76.77203385714462,2048
87,37.00005927568488,-76.41839653246656,2048
88,34.937030184489096,-92.43852615252716,2048
89,35.24322482684791,-92.71377025135884,2048
93,43.21082979976614,-84.8301088013279,2048
90,43.0000303384474,-85.41540713455521,2048
92,43.20351241097073,-85.07393999147978,2048
91,43.04398182808329,-85.43415016812817,2048
94,26.60781550027851,-80.22293370029455,2048
96,26.44629530715673,-80.08867490276829,2048
95,26.674964818650658,-80.21947309382921,2048
97,26.50627235919209,-80.07781244784947,2048
101,37.34688202387946,-88.68976023140752,2048
98,26.53788966039709,-80.12565541325267,2048
99,26.675196906091998,-80.22077777478584,2048
102,42.18796603565137,-71.73746958685764,2048
104,42.274052543918366,-71.73553759549662,2048
105,42.35114946623945,-71.76780201529733,2048
103,42.23295468348414,-71.72997043407558,2048
100,37.09818644732213,-88.29196124559147,2048
108,38.94813739085287,-77.32839854211548,2048
